,bookingReference,NPSReason,Topic
20,7876500,All went well  no problems really. Waited a long time on Coach at Palma  over half hour  confusion with coach at hotel on return.,booking
21,7876503,Everything went really well - we felt we were looked after and our holidays was super from the begining once we bookeed it in Tui office in Milton Keynes till the end. Thank you a lot!,hotel
22,7876506,This is the third Tui sensimar holiday this year and on balance this was the least enjoyable. The good  the people and the cleanliness. The worst  the food ( cold and very poor choice  compared to other sensimar experiences ) and entertainment was at bes,accommodation
23,7876520,I have just returned from a flight-only deal to La Palma for 10 days. A few months after booking the outward leg was cancelled and I had a choice of cancelling  or changing to a week's stay or changing the outward leg from Manchester to Gatwick. I chose ,booking
24,7876522,See complaint submitted,great
25,7876530,Better facilities and food in the premium lounge in Sanford Orlando Florida airport,accommodation
26,7876531,Service and staff are very good and proffessional. There really is not too much which can be improved.,booking
27,7876538,The shocking treatment we received as a result of a 15hr delay,great
28,7876547,The hotel was amazing but the flight was possibly the most uncomfortable i have ever experienced,flights
29,7876555,The Tui Rep in our resort was fantastic  the hotel unfortunately severely lacking in customer focused service. The hotel was not cleaned well  indeed on leaving our hotel room we found both a sock and a glass tumbler under the bed. Neither belonged to us,hotel
30,7876557,The resort was great only feed back was the reservation of sun loungers with towels in morning should not be permitted . Also variety of food and quality of food also every drink I had to pay for as my requests never part of all inclusive,hotel
31,7876562,The hotel itself was very good as it always is. The transfers in and out were a nightmare. This started with poor organisation as to where to go. On the way home the bus dropped everyone nearly half a mile away from the terminal and left everyone to unlo,hotel
32,7876565,Lovely hotel  food and weather,accommodation
33,7876574,I booked my holiday to Portugal online after doing my research on the TUI website The booking processes was so quick and simple  I got exactly what I booked,booking
34,7876576,TUI itself is great  the booking in the staff  the plane staff  all great  ‘normal’ people. We really enjoy flying with TUI as you have normal staff of all ages. Friendly and approachable reps. This time the hotel let us down really. We felt that because,accommodation
35,787658,I'm a single parent and have been with first choice twice. The first time I booked an abroad holiday was with yourselves. I was very scared at first but when got there was looked after by reps and made to feel save and relaxed. Really good experience couldn't have asked for better holidays,booking
36,7876582,Great holiday  activities people food and service great,accommodation
37,7876586,Everything was brilliant always travel with first choice from start to finish very friendly and helpful hotel and food was excellent transfer was quick brilliant for children will be booking for next yr with my grandkids and family,accommodation
38,7876587,Overall the holiday was excellent with just a few niggles flight out was fine and on time coach to the ship was also good and boarding was excellent as well.cabin was large and quite well equipped except for the tv too small and all the satellite channel,flights
39,7876600,The Barut Sensatori Fetihye   Exceeded our Expectations   we loved the staff   they were so focused on us  having a great 10day stay one word   fantastic!!!!,great
40,7876606,To whom it may concern: Upon departure  While checking our suitcase in  my fiancé and I were over weight by 4 kilos. However we were informed by the lady checking us in that it was ok as my fiancé never had hand luggage and therefore we were within our c,flights
41,7876607,the coach driver could not speak English a lot of people did not understand what he was saying when stopping at hotels.,hotel
42,7876610,We stayed at Riu Yucatan hotel definitely not a 5 star  room stunk of damp which made all my clothes smell foist! Staff lovely and friendly worked hard m,hotel
43,7876613,Positives On arrival we were upgraded to a 3 bed villa with a swim up pool  Ground and pools were really good All the food was excellent Negatives The telephone booking system was a failure  we only managed to book 2 a la cart restaurants in a 14 day hol,hotel
44,7876614,Flight out fine  hotel great  however the flight home was a fiasco and was like the flight from *****. This was my third Tui holiday this year but am now seriously considering whether to use Tui again in future.,flights
45,7876618,Online booking system is really simple  detailed and easy to use. You were the most competitive in terms of price for the whole of this summer  for both your villas and your package holidays. The TUI rep whilst we were at the Sarakina was no where to be ,booking
46,787662,"Return Flight - Service and choice of Food was not as good as the Outbound flight, and been as we upgraded ",flights
47,7876629,Grear,great
48,7876632,I booked the holiday in a store in Coventry  I needed to do a name change on the booking 3 days before. Online stated upto 24 hours before travelling. I called one evening  the lady I spoke to in the store wasn't interested in helping me as it was close ,booking
49,7876641,Only had the return flight and no problems what so ever a nice experience,flights
50,7876642,Overall was a great holiday at a really competitive price! However this is the second holiday in as many years where I’ve used tui and my luggage has been damaged in transit.,booking
51,7876649,All very good . Hotel spotless food choices very good. Should be free WiFi fridges and safes these days the times they have been paid for.,accommodation
52,7876650,No rep in the resort. Initially given a very substandard room. After complaining given a slightly better room. Arrived in hotel at 2:30  food finished at 2 so no option to eat. Took 2 days to find the all inclusive restaurant  so ate out. When we found t,hotel
53,7876657,The transport  including transfers  were comfortable and on time. The hotel was nice although the beach was slightly disappointing. There were plenty of sunbeds and the rule to keep them free before 10am worked really well. There were a large number of f,hotel
54,7876662,Hotel pool was freezing so couldn't even swim in it we complained about it but got told there was nothing they could do  also the air conditioning was switched to winter mode so the rooms were so hot and couldn't sleep at night when it was 28 degrees out,hotel
55,7876668,The booking system for the a la carte meal was not ideal and this did in fact cause us to miss the opportunity to sample the restaurant meal -we were both disappointed even though the hotel concierge was helpful.A system better than a screen would be pro,hotel
56,7876677,What went well? The hotel and area where we stayed was really nice. The flights and transfers were easy and all went well. What could have been improved? Queuing to get to check in on the flight back took a very long time and was disorganised. We were un,flights
57,7876680,Accommodation was good. Taken to airport on return to early,flights
58,7876693,Transfers take a very long time to and from the airport. The TUI rep at the hotel was friendly and helpful.,booking
59,7876704,Good food  great service  enjoyable entertainment. Only negative was the cabin location. We were in 6222 which was at the extreme stern and so over the propellers  which meant it was noisy and vibrated a lot. There should be a graduating cabin cost so th,accommodation
60,7876705,We use Tui often for our family holiday bookings  however on this occasion we were really disappointed with the all inclusive package deal and don't feel we received value for money and had a terrible experience!!!! The hotel itself we believe doesn't me,booking
61,7876706,Entertainment at night poor,great
62,7876707,Previously travelled with yourselves and had really good experiences and nothing changed on this trip. Webside easy to use  making booking straightforward. Airport and flight experience were great and went to schedule. Resort reps available daily  not th,booking
63,7876709,No issue from booking until arriving home,booking
64,7876720,Everything from start to finish was excellent,great
65,7876721,We always choose Marella cruises would not think of cruising with anyone else  I think that says it all.,flights
66,7876730,The consistency of the staff   some were extremely friendly and helpful some were absolutely rude. The holiday started with the most rudest man taking our luggage to our room not a good first impression. It’s a shame because the actual hotel was fantasti,hotel
67,7876733,Every thing was perfect  the hotel the staff could not do enough for you .food at the hotel was great  our flights there and back was excellent,accommodation
68,7876747,Check in at airport quick and easy hotel as described no problem with anythw,booking
69,7876752,Flights were on time transfer from burgas to sunny beach took too long due to being sat on the bus for 30mins before setting off with no explaination,flights
70,7876754,Generally very good but the excursion to Troodos wasn’t. Poor lunch  food extremely salty and unappetising.,accommodation
71,7876755,Food wasn’t very good not much selection Hotel lovely & clean lots of staff to serve food & drinks & help with anything Lovely pools & surroundings holiday reps were very helpful & always there to answer any questions,accommodation
72,7876757,Good hotel but location was much further from Limassol than we had anticipated and transfers were much longer than suggested,hotel
73,7876777,Me and my partner had our first sensatori holiday  before the birth of our first child. We wanted to relax but also have things to do. It was amazing start to finish from the flight on the dreamliner to the hotel and transfers. We didn't have to think ab,flights
74,7876784,The holiday run smoothly from start to finish from the flight to the accommodation which was an accurate description from your web site. Smooth transfers to hotel and lovely greeting when we arrived at our hotel.,booking
75,7876803,Easy process,great
76,7876806,flights on time both ways. Hotel was good in some respects and only adequate in others. We booked half board which was the only available option. However  the buffet dinner was repetitive and only adequate and we paid to eat at restaurants outside the ho,hotel
77,7876827,The way we were welcomed and the info they needed to find us the perfect holiday. Giving their personal experiences made it more easier and comfortable to pick the perfect holiday. The way they looked for all the info and all the questions we asked they ,booking
78,7876829,Overall I really enjoyed this holiday all the staff were really friendly and helpful some guests were complaining about cleanliness around the pool and rooms etc. The hotel staff jumped through hoops to address these complaints and started hosing down po,hotel
79,7876830,flight - outbound flight was with Norwegian Air - seats roomy and comfortable  good choice of food on board. flight - return flight was with Tiu  seats much smaller not so comfortable  good choice of food on board. Hotel - definitely NOT a 5 star,flights
80,787684,Everything was as advertised,great
81,7876847,On our departure from Belfast the trip started badly with a delayed flight  it was only an hour delay but it did get us of to a poor start. When we got under way the cabin crew announced that they had empty extra room seats available and to ask for a cos,flights
82,7876864,I stayed at the Nissaki Beach Hotel  Corfu  and the only facility I would recommend is that the hotel has a better shop. Whilst staying at this hotel I craved for chocolate but was disappointed that the nearest shop was a good 50 minutes walk away. Apart,accommodation
83,7876876,Fantastic holiday. Easily booked online using TUI website for a very good deal. Transfers ran smoothly. Hotel was absolutely brilliant. Great facilities  attentive staff and excellent activities organised by the hotel. We were half board and as I am a ve,booking
84,7876877,Good service,booking
85,7876883,The TUI rep who was there (Jade Inman) was really nice  when I explained I was there by myself she made sure that I felt welcome and that I knew I could go talk to her whenever I wanted. Having the same first name we bonded pretty quickly! All the staff ,hotel
86,7876903,Could not fault the whole first choice / tui experience from the flights to the hotel . Hotel staff helpful and friendly   food excellent and plenty of variet Plenty of facilities for the whole family,accommodation
87,7876904,Everything seemed very easy and straightforward. Booking was simple  any issues could be fixed through the app. Hotel exceeded expectations and on the whole the experience was excellent. We did book a trip which was cancelled less than 12 hrs before  thi,booking
88,7876905,The personnel is really useful welcoming.The Fly was in perfect time! It’s a shame i didn’t have any chance for the check in on line,booking
89,7876913,The car hire was suppose to be free but we ended up paying over 809 dollars!!! Total rip off could have paid for car hire at home and got it cheaper. Called ahead to speak to someone and as assured it would all be fine when we arrived at airport. It wasn,booking
90,7876916,I think the service is outstanding had no problems booking my holiday online got all the information I needed all the documents kept sending emails about the holiday felt very informed and happy about booking my holiday with first choice and would recomm,booking
91,7876917,Transfers were well organised  the on site rep Lindsay was excellent  very friendly and knowledgeable. She was able to answer any questions that we had using her local knowledge,booking
92,7876925,If booking all inclusive it takes the hassle out of applying filtersp,booking
93,7876930,Had a fab time  all went well except for an over zealous check in assistant who made me put my hand luggage in the hold for a few grammes .,flights
94,7876933,Everything went well from start to finish. 1 possible improvement would be the availability of an ATM at the resort.,booking
95,7876936,It w as a lovely relaxing holiday and all the hotel staff were amazing,accommodation
96,7876937,All was good apartment was amazing pool alittle small but great for the time of year we went food was pleasant not much choice but this is good as too much choice makes hoj greedy and wastful staff were excellent from reception and bar staff and maids en,accommodation
97,7876940,Hotel kitchenette only had a kettle and fridge would have liked toaster and at least one cooking ring,hotel
98,7876944,First class hotel with excellent faci,accommodation
99,7876949,trying to contact TUI via phone or email is impossible,booking
100,7876954,Flights were good transfers were good. Airplane attendents were good. No complaints,flights
101,7876955,everything was ok,great
102,7876962,Very professional. Easy and quick booking. Got a private taxi transfer without requesting it which was great! Didn’t have to pay extra to book seats on plane. Our room when we arrived was dark and dingy as it was on the bottom floor along a long dark cor,hotel
103,7876963,Very pleased with the holiday overall. Flight was okay but very pushy for sales. Never been a fan of having to pay to sit together so would be a negative from me. Accommodation was basic but clean and also kept very clean each day by the staff. Resort  w,accommodation
104,7876967,We had a lovely holiday  hotel and location brilliant . Out going TUI Airline and transfer very easy and good,accommodation
105,7876971,Flight was delayed by over 21 hours and we were not told anything. Only 2 reps at the airport and then none in the hotel until lunch time the following day,flights
106,7876973,The only negative I have from our holiday was our bathroom. Shower head kept falling down and not enough room in cubicle. Everything else was excellent. Michelle the customer relations was outstanding ????,hotel
107,7876976,Tui were great from start to finish. We flew on a lovely Dreamliner. Got a great last minute deal. And already are looking to book with you again. Feel your trustworthy and reliable.only negative comment would be about the hotels food as it was extremely,accommodation
108,7876979,Flight experience wasn’t great - delays on both . Manchester airport check in self service desk - chaotic.,flights
109,7876983,It depends on what sort of holiday you are looking for. Frankly  if you want sea sand  leisure at an all inclusive hotel  with the occasional (very expensive) excursion  then this hotel  or any one of the 62 hotels in Varadero  will be ok. If you want an,accommodation
110,7876988,The hotel was nice but was let down by the food. The food was blend and you were not encouraged to ask for food to be enhanced Staff were good and friendly helpful Enjoyed the facilities at the hotel,accommodation
111,7876993,Pilot and crew great  just wish the plane was a bit more modern and spacious,flights
112,7877001,everything went well,great
113,7877003,A very disappointing holiday with tui and with the Sensimar collection which we have used lots in the past. Will not be a first choice for a holiday company again. The hotel was falsely advertised. You was not welcome if you was English and none of the s,booking
114,7877009,We had a great holiday  flight outbound went really well  although we had an hour delay  Queens bay hotel was a great place to stay  very friendly  only problem was on the way home before we boarded the flight we were put into what looked like a cattle h,flights
115,7877021,Flight delayed 1 hour coming home  but apart from that excellent,flights
116,7877022,On the first night at our hotel my 76 year old fit and healthy father fell approximately 2ft from a wall/large step onto concrete due to non existent lighting around the seating area. The rep advised there was some technical reason and lighting wasn’t po,hotel
117,7877023,This is the second holiday I have booked with you. I do not agree with having to pay to reserve a seat  especially when you pay nearly £2000 for a 1 week holiday. If it is a package holiday it should be included.,booking
118,7877024,I woudl recommend tui/first choice but not the hotel we stayed at,accommodation
119,7877033,Staff were excellent and attentive  food was good and checking in both sides was easy. Staff were on hand to explain the exit tax and showed us how to do it. Range of in flight movies was a bit limited and when you watch a series you can't just put on an,hotel
120,7877034,The only thing that could be improved is the system for guiding planes in to Kos Airport. Apparently the system has been down for a few weeks restricting landings to 3 per hour  which caused delays to both flights. Most everything else went extremely wel,flights
121,7877042,easy to book online. great service on the plane & in the resort,flights
122,7877049,Hotel staff were friendly and helpful  they were sociable and able to resolve the issues we encountered. There were some problems with the accommodation  we were unable to lock the door at one point  the quality of some of the towels provided left someth,hotel
123,7877050,Lovely hotel but didn't see the rep either on transfer in or out and greeting meeting was esrly in morning after late flight,flights
124,7877058,Location of the hotel,hotel
125,7877062,EXCELLENT HOLIDAY AND HOTEL  VERY FRIENDLY STAFF AND GREAT QUALITY. ONLY CRITICISM IS THE FLIGHT DELAYS EXPERIENCED IN BOTH OUTWARD AND HOMEWARD FLIGHTS AND THE BAGAGE CLAIM DELAYS AT BRISTOL AIRPORT,flights
126,787707,great hotels wonderful cruises.,accommodation
127,7877070,We had a great time despitevthe intinersry neing changed because of predicted bad weather. We were disappointed at the last minute change especially as Casablanca was one od the new distinatikns..what a dump!,hotel
128,7877075,Flying from our local airport makes the experience of flying so much easier and not so stressful as flying from one of the major airports.,flights
129,7877077,Every thing from booking the holiday to the finish,booking
130,7877094,Nice hotel,accommodation
131,7877096,We paid an additional £50.00 (x 2) for extra space on the flights  which although you pre-booked the seats for us  this was in the wrong row  so we get get any additional space on both flights. We were given a time of 10.00am as the welcome talk  the tal,flights
132,7877099,Lovely holiday  very well organised. Hotel was lovely  however we wouldn’t say it was 5* premium as advertised. Flight was pleasant however the level of cleanliness was disappointing- crumbs  used tosses etc upon boarding the plane. Overall we had a wond,hotel
133,7877102,All contact with TUI representatives throughout the booking process  subsequent contact prior to the holiday  flight staff  hotel rep and excursions was predominantly of a very high standard. The only exception being one of the reps on a TUI excursion wa,booking
134,7877104,everything worked just as expected,great
135,7877106,I personally wouldn't have rated the hotel five star  so it was a little disappointing. We were also pressured 3-4 times per day to sign up for time share which was extremely annoying. Whilst most staff were friendly some spoke rudely in Potwa  which I c,hotel
136,7877122,Our reps were incredible the stress they were under due to the weather conditions. Gavin was incredible and so was the Italian rep I apologise know her her team name was I Igloo! They kept us up to date about the husky experience. It was on and off and t,hotel
137,7877124,Easy on line booking straight forward no bidding cost always feel at ease and better quality holiday when booking with tui,booking
138,7877125,The leg room on the flight is as bad as Ryan air! We were in row 10 and 7 and I was kneed in the back both to and from the destination. Check in at Gran Canaria was horrible! An hour just to check in! Only 3 people available. You know how many people are,flights
139,7877128,Lovely people at this hotel so kind and helpful   the trip to Ithaca was excellent. BUT you did not tell me that I would have to pay almost 100 euros to have the air conditioning on and it was HOT  the fridge turned on and the security box accessed. I wa,hotel
140,7877131,Getting the seats on the aircraft which had been booked. Not having a rude cabin crew member.,flights
141,7877135,We had a good experience with our travel arrangements,booking
142,7877137,The hotel was a bit rundown.,hotel
143,7877148,We were really happy with our experience with you but would have preferred better flight times we prefer an early flight so we return at an earlier time. We gave been to Lanzarote on a number of occasions but prefer getting there around lunchtime as the ,flights
144,7877149,It was good to have so many ports and so few days at sea. The show team were fantastic and we enjoyed every one of their shows. They were all very talented and enthusiastic. We enjoyed Gary Walsh's solo cabaret which proved he was an excellent singer as ,accommodation
145,7877152,Really easy to book in and board the plane. The flight was really nice with friendly Staff. Nothing was to much trouble  very helpful. We always like to fly with you because we know we will be looked after and arrive ready to enjoy out holiday.,flights
146,7877171,Lovely apartment and facilities  very clean. Breakfast was poor not offering what we wanted. Flights on time.,hotel
147,7877174,Things that went well: website improvements where you can see the whole month so can easily see the cheapest weeks available. On-line check in. Things that could be better  the luggage allowance has reduced to 15 for your suitcase and as a solo traveler ,booking
148,7877179,Up graded to sea view   however more tennis court and road   hotel changed the room next day   front desk staff wonderful . No contact number for rep on paperwork which would have been helpful as missed welcome meet . Would recommend the Mediterranean ho,booking
149,7877180,Excellent hotel,accommodation
150,7877190,It all went well,great
151,7877191,Very happy with flights out and back on British Airways. A couple of issues with Hotel Hovima  no assistants at hotel to help with luggage and no shelf in walk-in shower for toiletries.,flights
152,7877197,Our experience on the plane journey out was one to be forgotten having been kept behind at security where our baby liquids were being checked. We missed last call and as a result the gate closed. Thanks to the Tui staff we were permitted on the plane and,flights
153,7877203,Staff were all very friendly and obliging. Cabin was kept clean. Food was good and always available when back late to ship. We liked sitting with different people each evening in the restaurant. Maps of destinations were not very clear. It would be good ,hotel
154,7877210,You could get the hotel to put in soundproof windows so we aren't woke up by a load of fat people doing aerobics in a pool to terrible music and an annoying instructor Bar open later than 12 Apart from that it was great,hotel
155,7877212,Good food and hotel.,accommodation
156,7877217,We like the holiday very much the only thing that was bad about it was the delays on leaving Manchester. waited good 45 min waiting for take off. Then over an hourwaiting to board for the flight back to England apart from that we had a great time thanks ,flights
157,7877221,Very helpful and friendly.,great
158,7877227,it all went well apart from the two hour delay at Gatwick to fly to antayla,flights
159,7877238,The flights both there and back were great  both on time. The transfers were easy and didn't take too long. The hotel was nice but it could have been better in some aspects. The area was really nice. We would go back to the area but not to hte hotel.,accommodation
160,7877245,We really enjoyed this hotel it’s was very relaxing . Hotel in good spot we enjoyed the beach pool . Food was good plenty of choice for breakfast and it was really clean they nevered stoped cleaning all the staff were really friendly even the cooks spoke,accommodation
161,7877251,Location   Croatia and the Rabac area was beautiful. The hotel was the perfect balance of luxury and family friendly. Staff in resort and hotel were amazing with the children and our food allergies. Baby club staff were lovely too,accommodation
162,7877256,Everything was just perfect,great
163,7877257,Excellent hotel location  but our garden room was at street level and had a rectangular glass panel adjacent to the door which was a mix of clear and opaque glass. This meant that passers by could see in to the beds - especially if the room was lit. We h,hotel
164,7877269,Good hotel flight quite cramped never saw rep,flights
165,7877272,From booking our holiday to our departure everything was fantastic we were a bit dubious about using self check in as it was all new to us with having boarding cards on our phones but found it really easy and will definitely use again We also booked extr,booking
166,7877273,Holiday was fine flight out and transfer good but in return journey cases thrown into bus by driver dropped off at airport with no TUI rep telling you where to go then airport absolute nightmare with inadequate seating flight delayed with no explanation ,flights
167,7877275,Cheap deal but not a cheap holiday Very good,accommodation
168,7877297,Whilst looking for holidays I found a deal tried to book it and was told there is technical difficulties and the same the next day and the next - meanwhile the price was increasing the whole time. So I took 5mins at work to call and try to book only to b,booking
169,7877306,Everything went well There is nothing we can criticise. Brilliant location excellent resort.,hotel
170,7877314,On arrival at our hotel  after a 2 hour delay  we were assured by the disinterested rep that the hotel was open. So she jumped back on the coach and off she went! We were dumped in the dark and pouring rain  and the main door to the hotel was locked!!! A,hotel
171,7877329,Nothing really. Had no issues at all.,great
172,7877337,The flight was good and the hotel was very nice and food was nice only down fall was they allowed people to put towels on sunbeds early in the morning and some people never used them all day i dont think this is fair on people that could not use the sunb,hotel
173,7877338,Great holiday,great
174,7877346,It was a lovely hotel and location but for a platinum hotel the rooms were quite dated  beechwood framing in room with formica tops  tiled floor in need of updating and bathroom and kitchen area as well.,hotel
175,7877357,Flight and service was great,flights
176,7877359,The booking process  the flights transfers and AI package all work well. The cruise package is good value  the ship was nice  staff very friendly and helpful but we were a little disappointed with the availability and waiting times in the restaurants. Th,accommodation
177,7877370,Overall tui gave a good service it was the hotel that let the holiday down. The tui flight was ok and the transfer,flights
178,7877372,This my wife and I second time of choosing aTui Holiday in 3 months and were yet again happy with the service. Choice of holidays and pricing. Most importantly we had a relaxing stress free holiday in a super location.,booking
179,7877388,Clean  tidy  staff helpful and polite. At times logistics of feeding so many people meant having to wait for crockery and cutlery. Due to time lag  and popularity of al Le carte returaunts we were only able to book for two.,booking
180,7877393,I booked this holiday online  the first ever time I've done this. I found this easy to do  but did check myself several times. On calling the local Tui shop to check the price with them as well ( which was £30.00 dearer ) I was informed that if I booked ,booking
181,7877397,The website and app are both user friendly and the cost of the flight was very reasonable. In addition  staff on the flight were helpful and amenable and the check-in process was quick and well organised. I would definitely recommend TUI to anyone lookin,booking
182,7877398,Tui reps were really hel,great
183,7877407,flight was great,flights
184,7877415,Smooth passage all the way reps available when required also phone number to call anytime day or night.hotel good also staff there friendly would go again,booking
185,7877416,Great holiday but devastated as 1of our 3 cases was so smashed up when we arrived in Majorca.??,accommodation
186,7877435,I had a good and calm time in my flight. All the employees were polite and willing to help. I think that I'm going to travel again with TUI!!!,flights
187,7877436,The journey went really well with a great end to it where my daughter was allowed to sit in the cockpit. This was a great experience for her and it was greatly appreciated. We would definitely fly with TUI again. The only issue we had was that we paid fo,flights
188,7877437,everything was good with the holiday  a big improvement would be e-tickets that are not A4 size,great
189,7877442,Very efficient and easy organisation. Friendly staff on coach transfer. Easy to organise trips and good choice  helpful introductaror meeting and info on local area/ ideas on things to do. Overall happy with tui service although hotel staff outside of tu,booking
190,7877448,Powdered fruit drink machines at a 4 starhotel. Tiny shower with silly doors. Spa and pool closing by 18.30. No light on balcony. Wifi too many times you had to sign in.,hotel
191,7877452,Very good hotel and location! Food was very good! Entertainment was ok! Will definitely be returning!,accommodation
192,7877459,Great location  nice hotel  friendly staff  very clean and kept in good repair,accommodation
193,7877461,This was our first cruise and we loved it. The ship was clean and practical fufilling all our needs. The food was incredible  especially the meat - the chefs on Marella cellebration should be very proud of themselves! We did the Nelsons Dockyard trip org,accommodation
194,7877470,EASY TO BOOK,booking
195,7877474,Had a great time,great
196,7877475,Nice hotel food could be better. Long transfer from airpiort,accommodation
197,7877485,I cannot fault the holiday village in seregemie in any shape or form. Staff  food  facilities  entertainment was excellent. The only issue is the all inclusive wrist bands. Why not use photographic key cards especially for adults.,accommodation
198,7877490,Check in smooth and flight on time. Good flight and first class airport reception by Tui staff  return to uk perfect,flights
199,7877495,we stayed at the Jardine in son bou and it's the best place I've stayed at in menorca   the staff were excellent very friendly  they couldn't do enough for us and the place was immaculate  I would definitely go back,accommodation
200,7877498,It is a friendly ship  the crew are great. They are always willing to go the extra mile,great
201,7877516,Absolutely had a fabulous time at the hotel food entertainment and the staff were absolutely fantastic.so friendly helpful nothing was to much trouble for them.,hotel
202,7877524,Everything was perfect  couldn't have asked for more.,great
203,7877527,Reps were fine always on hand to answer questions made themselves known to all. Very knowledgeable of the area and resort. Andrew and Emily obviously loved what they do. It was the hotel that let is down . Tired and dated in parts Was just the hotel,hotel
204,7877529,Was a lovely holiday. Hotel brilliant,accommodation
205,787753,Was cept  awake  all night on ship banging  nose  in cabin roof  for 3 nights  room 2039 had man out on Saturday night had no sleep 3 nights,hotel
206,7877532,Excellent service and hotel was lovely great location. From booking holiday and hotel rep was brilliant she took time to help and took us on a walking trip which was brilliant.,accommodation
207,7877538,If u have a problem how big or small it's a problem for you your representative should try to help you not just hope you will go away,booking
208,7877541,Greater hand luggage weight. 5kls is the weight of a bag!,flights
209,7877543,All was great  only one thing really made me very annoyed TUI charged me £60.00 to keep our room for the extra day  only to find out from hotel reception they only charge £14.00  £36.00 difference..WHY!!!!,booking
210,7877545,The hotel,accommodation
211,7877548,Great flight service and my partner even got to sit in the captains chair after the flight!,flights
212,7877551,I have never had problems with TUI but l did have 3 little niggles this time 1 the flight was late just a hour not a problem but my cases must have been left out in the rain the whole time hard cases but both my husbands and my case clothes were soaking ,hotel
213,7877552,All went very well.no problems whatsoever.,great
214,7877557,Excellent holiday. TUI as usual were faultless. I had a question about my flight home  your representative responded immediately and reassured me and answers my question immediately. Will continue to book with TUI over all others. Recommending to others ,booking
215,7877564,You have stolen our money,great
216,7877568,Very easy to view holiday online before you go. Easy to select seats & check-in. Quick luggage drop off at airport & quick & efficient boarding. Helpful TUI reps at destination airport & hotel. Service on aeroplane could be improved. We were missed a cou,flights
217,7877575,Flight experience was good along side cleanliness and service during the flight. Downfall being an hour and half delay due to a technical issue and long delays at arrival end with baggage reclaim which almost took an hour also. Return flight was faultles,flights
218,7877578,On the flight going to destination when the main meal was brought out there was wine on offer I asked if it was possible to get a soft drink as I'm expecting so unable to drink wine and was told it was wine or nothing I would have to wait for drink servi,hotel
219,7877579,This was our first ever cruise  and overall it was a great experience. However  having never previously been on a cruise ship  on arrival we had to ask someone to direct us to our cabin.,flights
220,7877596,The family holiday was a great success,great
221,7877599,Inability to check in on-line (inc API details) Lack of detail  from the rep  concerning the excursions offered i.e. that they were subcontracted to a 3rd party provider,booking
222,7877602,Our return flight was less enjoyable  there were several babies and infants in our seating area who cried for most of the flight. A separate area for parents with younger children and babies may be a solution if it’s at all possible. I can’t fault the fl,flights
223,7877614,Overall everything went well,great
224,7877615,We feel that our holiday was very enjoyable. We feel safer with a package holiday but the standards and quality of TUI after the name change are clear. The aircraft was shabby (hope this was just the inside) and not very clean and not having a TUI rep on,flights
225,7877625,In resort staff not helpful,booking
226,7877631,Pads on the roof terrace loungers! The room initially smelt of cigarette smoke  luckily I had some room spray and we left the windows open!,hotel
