bookingReference,NPSReason
7876936,It w as a lovely relaxing holiday and all the hotel staff were amazing
7876937,All was good apartment was amazing pool alittle small but great for the time of year we went food was pleasant not much choice but this is good as too much choice makes hoj greedy and wastful staff were excellent from reception and bar staff and maids en
7876940,Hotel kitchenette only had a kettle and fridge would have liked toaster and at least one cooking ring
7876944,First class hotel with excellent faci
7876949,trying to contact TUI via phone or email is impossible
7876954,Flights were good transfers were good. Airplane attendents were good. No complaints
7876955,everything was ok
7876962,Very professional. Easy and quick booking. Got a private taxi transfer without requesting it which was great! Didn’t have to pay extra to book seats on plane. Our room when we arrived was dark and dingy as it was on the bottom floor along a long dark cor
7876963,Very pleased with the holiday overall. Flight was okay but very pushy for sales. Never been a fan of having to pay to sit together so would be a negative from me. Accommodation was basic but clean and also kept very clean each day by the staff. Resort  w
7876967,We had a lovely holiday  hotel and location brilliant . Out going TUI Airline and transfer very easy and good
7876971,Flight was delayed by over 21 hours and we were not told anything. Only 2 reps at the airport and then none in the hotel until lunch time the following day
7876973,The only negative I have from our holiday was our bathroom. Shower head kept falling down and not enough room in cubicle. Everything else was excellent. Michelle the customer relations was outstanding ????
7876976,Tui were great from start to finish. We flew on a lovely Dreamliner. Got a great last minute deal. And already are looking to book with you again. Feel your trustworthy and reliable.only negative comment would be about the hotels food as it was extremely
7876979,Flight experience wasn’t great - delays on both . Manchester airport check in self service desk - chaotic.
7876983,It depends on what sort of holiday you are looking for. Frankly  if you want sea sand  leisure at an all inclusive hotel  with the occasional (very expensive) excursion  then this hotel  or any one of the 62 hotels in Varadero  will be ok. If you want an
7876988,The hotel was nice but was let down by the food. The food was blend and you were not encouraged to ask for food to be enhanced Staff were good and friendly helpful Enjoyed the facilities at the hotel
7876993,Pilot and crew great  just wish the plane was a bit more modern and spacious
7877001,everything went well
7877003,A very disappointing holiday with tui and with the Sensimar collection which we have used lots in the past. Will not be a first choice for a holiday company again. The hotel was falsely advertised. You was not welcome if you was English and none of the s
7877009,We had a great holiday  flight outbound went really well  although we had an hour delay  Queens bay hotel was a great place to stay  very friendly  only problem was on the way home before we boarded the flight we were put into what looked like a cattle h
7877021,Flight delayed 1 hour coming home  but apart from that excellent
7877022,On the first night at our hotel my 76 year old fit and healthy father fell approximately 2ft from a wall/large step onto concrete due to non existent lighting around the seating area. The rep advised there was some technical reason and lighting wasn’t po
7877023,This is the second holiday I have booked with you. I do not agree with having to pay to reserve a seat  especially when you pay nearly £2000 for a 1 week holiday. If it is a package holiday it should be included.
7877024,I woudl recommend tui/first choice but not the hotel we stayed at
7877033,Staff were excellent and attentive  food was good and checking in both sides was easy. Staff were on hand to explain the exit tax and showed us how to do it. Range of in flight movies was a bit limited and when you watch a series you can't just put on an
7877034,The only thing that could be improved is the system for guiding planes in to Kos Airport. Apparently the system has been down for a few weeks restricting landings to 3 per hour  which caused delays to both flights. Most everything else went extremely wel
7877042,easy to book online. great service on the plane & in the resort
7877049,Hotel staff were friendly and helpful  they were sociable and able to resolve the issues we encountered. There were some problems with the accommodation  we were unable to lock the door at one point  the quality of some of the towels provided left someth
7877050,Lovely hotel but didn't see the rep either on transfer in or out and greeting meeting was esrly in morning after late flight
7877058,Location of the hotel
7877062,EXCELLENT HOLIDAY AND HOTEL  VERY FRIENDLY STAFF AND GREAT QUALITY. ONLY CRITICISM IS THE FLIGHT DELAYS EXPERIENCED IN BOTH OUTWARD AND HOMEWARD FLIGHTS AND THE BAGAGE CLAIM DELAYS AT BRISTOL AIRPORT
787707,great hotels wonderful cruises.
7877070,We had a great time despitevthe intinersry neing changed because of predicted bad weather. We were disappointed at the last minute change especially as Casablanca was one od the new distinatikns..what a dump!
7877075,Flying from our local airport makes the experience of flying so much easier and not so stressful as flying from one of the major airports.
7877077,Every thing from booking the holiday to the finish
7877094,Nice hotel
7877096,We paid an additional £50.00 (x 2) for extra space on the flights  which although you pre-booked the seats for us  this was in the wrong row  so we get get any additional space on both flights. We were given a time of 10.00am as the welcome talk  the tal
7877099,Lovely holiday  very well organised. Hotel was lovely  however we wouldn’t say it was 5* premium as advertised. Flight was pleasant however the level of cleanliness was disappointing- crumbs  used tosses etc upon boarding the plane. Overall we had a wond
7877102,All contact with TUI representatives throughout the booking process  subsequent contact prior to the holiday  flight staff  hotel rep and excursions was predominantly of a very high standard. The only exception being one of the reps on a TUI excursion wa
7877104,everything worked just as expected
7877106,I personally wouldn't have rated the hotel five star  so it was a little disappointing. We were also pressured 3-4 times per day to sign up for time share which was extremely annoying. Whilst most staff were friendly some spoke rudely in Potwa  which I c
7877122,Our reps were incredible the stress they were under due to the weather conditions. Gavin was incredible and so was the Italian rep I apologise know her her team name was I Igloo! They kept us up to date about the husky experience. It was on and off and t
7877124,Easy on line booking straight forward no bidding cost always feel at ease and better quality holiday when booking with tui
7877125,The leg room on the flight is as bad as Ryan air! We were in row 10 and 7 and I was kneed in the back both to and from the destination. Check in at Gran Canaria was horrible! An hour just to check in! Only 3 people available. You know how many people are
7877128,Lovely people at this hotel so kind and helpful   the trip to Ithaca was excellent. BUT you did not tell me that I would have to pay almost 100 euros to have the air conditioning on and it was HOT  the fridge turned on and the security box accessed. I wa
7877131,Getting the seats on the aircraft which had been booked. Not having a rude cabin crew member.
7877135,We had a good experience with our travel arrangements
7877137,The hotel was a bit rundown.
7877148,We were really happy with our experience with you but would have preferred better flight times we prefer an early flight so we return at an earlier time. We gave been to Lanzarote on a number of occasions but prefer getting there around lunchtime as the 
7877149,It was good to have so many ports and so few days at sea. The show team were fantastic and we enjoyed every one of their shows. They were all very talented and enthusiastic. We enjoyed Gary Walsh's solo cabaret which proved he was an excellent singer as 
7877152,Really easy to book in and board the plane. The flight was really nice with friendly Staff. Nothing was to much trouble  very helpful. We always like to fly with you because we know we will be looked after and arrive ready to enjoy out holiday.
7877171,Lovely apartment and facilities  very clean. Breakfast was poor not offering what we wanted. Flights on time.
7877174,Things that went well: website improvements where you can see the whole month so can easily see the cheapest weeks available. On-line check in. Things that could be better  the luggage allowance has reduced to 15 for your suitcase and as a solo traveler 
7877179,Up graded to sea view   however more tennis court and road   hotel changed the room next day   front desk staff wonderful . No contact number for rep on paperwork which would have been helpful as missed welcome meet . Would recommend the Mediterranean ho
7877180,Excellent hotel
7877190,It all went well
7877191,Very happy with flights out and back on British Airways. A couple of issues with Hotel Hovima  no assistants at hotel to help with luggage and no shelf in walk-in shower for toiletries.
7877197,Our experience on the plane journey out was one to be forgotten having been kept behind at security where our baby liquids were being checked. We missed last call and as a result the gate closed. Thanks to the Tui staff we were permitted on the plane and
7877203,Staff were all very friendly and obliging. Cabin was kept clean. Food was good and always available when back late to ship. We liked sitting with different people each evening in the restaurant. Maps of destinations were not very clear. It would be good 
7877210,You could get the hotel to put in soundproof windows so we aren't woke up by a load of fat people doing aerobics in a pool to terrible music and an annoying instructor Bar open later than 12 Apart from that it was great
7877212,Good food and hotel.
7877217,We like the holiday very much the only thing that was bad about it was the delays on leaving Manchester. waited good 45 min waiting for take off. Then over an hourwaiting to board for the flight back to England apart from that we had a great time thanks 
7877221,Very helpful and friendly.
7877227,it all went well apart from the two hour delay at Gatwick to fly to antayla
7877238,The flights both there and back were great  both on time. The transfers were easy and didn't take too long. The hotel was nice but it could have been better in some aspects. The area was really nice. We would go back to the area but not to hte hotel.
7877245,We really enjoyed this hotel it’s was very relaxing . Hotel in good spot we enjoyed the beach pool . Food was good plenty of choice for breakfast and it was really clean they nevered stoped cleaning all the staff were really friendly even the cooks spoke
7877251,Location   Croatia and the Rabac area was beautiful. The hotel was the perfect balance of luxury and family friendly. Staff in resort and hotel were amazing with the children and our food allergies. Baby club staff were lovely too
7877256,Everything was just perfect
7877257,Excellent hotel location  but our garden room was at street level and had a rectangular glass panel adjacent to the door which was a mix of clear and opaque glass. This meant that passers by could see in to the beds - especially if the room was lit. We h
7877269,Good hotel flight quite cramped never saw rep
7877272,From booking our holiday to our departure everything was fantastic we were a bit dubious about using self check in as it was all new to us with having boarding cards on our phones but found it really easy and will definitely use again We also booked extr
7877273,Holiday was fine flight out and transfer good but in return journey cases thrown into bus by driver dropped off at airport with no TUI rep telling you where to go then airport absolute nightmare with inadequate seating flight delayed with no explanation 
7877275,Cheap deal but not a cheap holiday Very good
7877297,Whilst looking for holidays I found a deal tried to book it and was told there is technical difficulties and the same the next day and the next - meanwhile the price was increasing the whole time. So I took 5mins at work to call and try to book only to b
7877306,Everything went well There is nothing we can criticise. Brilliant location excellent resort.
7877314,On arrival at our hotel  after a 2 hour delay  we were assured by the disinterested rep that the hotel was open. So she jumped back on the coach and off she went! We were dumped in the dark and pouring rain  and the main door to the hotel was locked!!! A
7877329,Nothing really. Had no issues at all.
7877337,The flight was good and the hotel was very nice and food was nice only down fall was they allowed people to put towels on sunbeds early in the morning and some people never used them all day i dont think this is fair on people that could not use the sunb
7877338,Great holiday
7877346,It was a lovely hotel and location but for a platinum hotel the rooms were quite dated  beechwood framing in room with formica tops  tiled floor in need of updating and bathroom and kitchen area as well.
7877357,Flight and service was great
7877359,The booking process  the flights transfers and AI package all work well. The cruise package is good value  the ship was nice  staff very friendly and helpful but we were a little disappointed with the availability and waiting times in the restaurants. Th
7877370,Overall tui gave a good service it was the hotel that let the holiday down. The tui flight was ok and the transfer
7877372,This my wife and I second time of choosing aTui Holiday in 3 months and were yet again happy with the service. Choice of holidays and pricing. Most importantly we had a relaxing stress free holiday in a super location.
7877388,Clean  tidy  staff helpful and polite. At times logistics of feeding so many people meant having to wait for crockery and cutlery. Due to time lag  and popularity of al Le carte returaunts we were only able to book for two.
7877393,I booked this holiday online  the first ever time I've done this. I found this easy to do  but did check myself several times. On calling the local Tui shop to check the price with them as well ( which was £30.00 dearer ) I was informed that if I booked 
7877397,The website and app are both user friendly and the cost of the flight was very reasonable. In addition  staff on the flight were helpful and amenable and the check-in process was quick and well organised. I would definitely recommend TUI to anyone lookin
7877398,Tui reps were really hel
7877407,flight was great
7877415,Smooth passage all the way reps available when required also phone number to call anytime day or night.hotel good also staff there friendly would go again
7877416,Great holiday but devastated as 1of our 3 cases was so smashed up when we arrived in Majorca.??
7877435,I had a good and calm time in my flight. All the employees were polite and willing to help. I think that I'm going to travel again with TUI!!!
7877436,The journey went really well with a great end to it where my daughter was allowed to sit in the cockpit. This was a great experience for her and it was greatly appreciated. We would definitely fly with TUI again. The only issue we had was that we paid fo
7877437,everything was good with the holiday  a big improvement would be e-tickets that are not A4 size
7877442,Very efficient and easy organisation. Friendly staff on coach transfer. Easy to organise trips and good choice  helpful introductaror meeting and info on local area/ ideas on things to do. Overall happy with tui service although hotel staff outside of tu
7877448,Powdered fruit drink machines at a 4 starhotel. Tiny shower with silly doors. Spa and pool closing by 18.30. No light on balcony. Wifi too many times you had to sign in.
7877452,Very good hotel and location! Food was very good! Entertainment was ok! Will definitely be returning!
7877459,Great location  nice hotel  friendly staff  very clean and kept in good repair
7877461,This was our first cruise and we loved it. The ship was clean and practical fufilling all our needs. The food was incredible  especially the meat - the chefs on Marella cellebration should be very proud of themselves! We did the Nelsons Dockyard trip org
7877470,EASY TO BOOK
7877474,Had a great time
7877475,Nice hotel food could be better. Long transfer from airpiort
7877485,I cannot fault the holiday village in seregemie in any shape or form. Staff  food  facilities  entertainment was excellent. The only issue is the all inclusive wrist bands. Why not use photographic key cards especially for adults.
7877490,Check in smooth and flight on time. Good flight and first class airport reception by Tui staff  return to uk perfect
7877495,we stayed at the Jardine in son bou and it's the best place I've stayed at in menorca   the staff were excellent very friendly  they couldn't do enough for us and the place was immaculate  I would definitely go back
7877498,It is a friendly ship  the crew are great. They are always willing to go the extra mile
7877516,Absolutely had a fabulous time at the hotel food entertainment and the staff were absolutely fantastic.so friendly helpful nothing was to much trouble for them.
7877524,Everything was perfect  couldn't have asked for more.
7877527,Reps were fine always on hand to answer questions made themselves known to all. Very knowledgeable of the area and resort. Andrew and Emily obviously loved what they do. It was the hotel that let is down . Tired and dated in parts Was just the hotel
7877529,Was a lovely holiday. Hotel brilliant
787753,Was cept  awake  all night on ship banging  nose  in cabin roof  for 3 nights  room 2039 had man out on Saturday night had no sleep 3 nights
7877532,Excellent service and hotel was lovely great location. From booking holiday and hotel rep was brilliant she took time to help and took us on a walking trip which was brilliant.
7877538,If u have a problem how big or small it's a problem for you your representative should try to help you not just hope you will go away
7877541,Greater hand luggage weight. 5kls is the weight of a bag!
7877543,All was great  only one thing really made me very annoyed TUI charged me £60.00 to keep our room for the extra day  only to find out from hotel reception they only charge £14.00  £36.00 difference..WHY!!!!
7877545,The hotel
7877548,Great flight service and my partner even got to sit in the captains chair after the flight!
7877551,I have never had problems with TUI but l did have 3 little niggles this time 1 the flight was late just a hour not a problem but my cases must have been left out in the rain the whole time hard cases but both my husbands and my case clothes were soaking 
7877552,All went very well.no problems whatsoever.
7877557,Excellent holiday. TUI as usual were faultless. I had a question about my flight home  your representative responded immediately and reassured me and answers my question immediately. Will continue to book with TUI over all others. Recommending to others 
7877564,You have stolen our money
7877568,Very easy to view holiday online before you go. Easy to select seats & check-in. Quick luggage drop off at airport & quick & efficient boarding. Helpful TUI reps at destination airport & hotel. Service on aeroplane could be improved. We were missed a cou
7877575,Flight experience was good along side cleanliness and service during the flight. Downfall being an hour and half delay due to a technical issue and long delays at arrival end with baggage reclaim which almost took an hour also. Return flight was faultles
7877578,On the flight going to destination when the main meal was brought out there was wine on offer I asked if it was possible to get a soft drink as I'm expecting so unable to drink wine and was told it was wine or nothing I would have to wait for drink servi
7877579,This was our first ever cruise  and overall it was a great experience. However  having never previously been on a cruise ship  on arrival we had to ask someone to direct us to our cabin.
7877596,The family holiday was a great success
7877599,Inability to check in on-line (inc API details) Lack of detail  from the rep  concerning the excursions offered i.e. that they were subcontracted to a 3rd party provider
7877602,Our return flight was less enjoyable  there were several babies and infants in our seating area who cried for most of the flight. A separate area for parents with younger children and babies may be a solution if it’s at all possible. I can’t fault the fl
7877614,Overall everything went well
7877615,We feel that our holiday was very enjoyable. We feel safer with a package holiday but the standards and quality of TUI after the name change are clear. The aircraft was shabby (hope this was just the inside) and not very clean and not having a TUI rep on
7877625,In resort staff not helpful
7877631,Pads on the roof terrace loungers! The room initially smelt of cigarette smoke  luckily I had some room spray and we left the windows open!
7877646,Generally very good no problems good flight . I did expect some free snacks & a drink with it being a 4 hour flight but luckily we are members of the vip lounge & had a meal before flying
7877653,Great flight times  excellent choice of airports  friendly staff
7877656,More choice of cocktails would have been good. Hotel perhaps slightly tired in places. But overall pretty much as expected.
7877660,All really good  no complaints
7877661,1/ The flights were poor. Cabins were cramped and they ran out of hot food. 2/ The hotel staff were great  But in the mornings they were more intent on clearing than looking after you at breakfast and lunch. Getting a drink or cutlery was very slow.
7877676,Reasonable flights good hotel
7877684,Hotel as excellent as ever - this was our 7th visit. Impressed that some staff from the 1990's are still there and that they have now introduced more Greek dishes. Transfers very well handled  except one case left behind at hotel on return journey. but T
7877688,Some of the aspects of the hotel  should of been better  towels only changed twice  th shower gel wasn’t changed all week. Food quality was ok  overall was great value for money so happy
7877699,Use better airlines.
787771,they do agood job
7877718,We had a very relaxed cruise  all the crew were lovely  always smiling and always helpful. The activities on the ship were good and the entertainment was brilliant  we looked forward to the shows at night. The food was very good with a good selection. Ou
7877723,Flight was delayed 2 hours. Plane got swapped from TUI plane to a Wamos plane. There was no drink and food facilities. The plane was very dirty and old. I certainly won't be flying with yourselves again
7877736,I believed I had booked a side or sea view room. It was evident in conversation with the hotel before our arrival that this was not the case. Querying it with with TUI was unsatisfactory and the room we were allocated was disappointing and overpriced giv
7877743,The Flight was delayed by approx. 1 hour. Don't know why  think it was a technical issues before the plane arrived. The experience on board and during the flight was pleasant and relaxing  staff were great  friendly and polite. At the destination the kno
7877750,All went smoothly. Flights.. reps... hotel all very good. Couldnt of been improved.
7877751,Booking was fairly easy. Flights were good and on time.
7877760,The flight out had no entertainment  not even a screen showing where we were geographically and couldn’t hear the captain speaking. The hotel was extremely clean and the staff welcoming and friendly. The food was well varied every meal time even when we 
7877767,Our holiday to Cape Verde went very smoothly apart from a few hiccups at Bristol Airport concerning the lift having broken down  very relaxing holiday.
7877773,Everything went very well  even travelling with our autistic child  helpful people at airport and check in
7877776,Me and my family had an awesome time in Menorca hotel was very clean and the food was excellent different choices of food which was awesome as my little kids are fussy eaters I will be back next year and the staff were polite and very helpful
7877798,Overall the experience was very good  although the flight was a Norwegian flight so any credit here would be down to them. The only thing that let the holiday down was our room which we are very disappointed about.
7877801,All went extremely well. Flight  transfer  hotel check in  room. Also home ward bound went very well. Please explain why we do online check in but  still have to queue at check in desk at East Mid' Airport - no baggage drop of. The whole Holiday was perf
7877812,The overall service offered by Tui was very good. I find the booking options to be clear and informative. The transfers from the airport to the hotel were easy and without hassle  making the holiday enjoyable from the start.
7877824,Airport experience
